groupIDs,roomName,RoleName,userIDs,content,m_experimental_testing,m_making_design_choices,m_asking_questions,j_customer_consultants_requests,j_performance_parameters_requirements,j_communication,OutcomeScore,wordCount
2a,Introduction and Workflow Tutorial with Entrance Interview,Mentor,1,"You can only cancel submissions before Alex has viewed them, so make sure you have included everything that is required before submitting.",0,0,0,0,0,0,4,22
2a,Introduction and Workflow Tutorial with Entrance Interview,Mentor,1,"As soon as you submit a notebook to Alex he will review it and then send feedback as soon as he can. While you are waiting, you should assist any of your teammates who have not submitted their deliverable. Your team will not be able to move on to the next task until each of your team members' notebooks have been witnessed.",0,1,0,0,0,0,4,62
2a,Background research on dialysis,Mentor,1,"Back when I was an undergrad, I interned at a mechanical engineering company that designed exoskeletons for rescue workers. You are working on a different project, but I have put an example of the summary I used for my previous project in the shared space. Alex is pretty similar to my boss at the internship, so you're welcome to use this as a template to write your own.  Note the language and the length of the response.",0,0,0,0,0,1,4,77
2a,Background research on dialysis,Mentor,1,Please pay close attention to the citation methods used in my example. I know Alex will be a stickler for following correct citation methods.,0,1,0,0,0,0,4,24
2a,Background research on dialysis,Player,7,what citation method do we use to site our sources. nothing was specified....,0,0,0,0,0,0,5,13
2a,Background research on dialysis,Mentor,1,"Once Alex receives your notebook you should receive an email with feedback shortly thereafter. I recommend completing any notebook revisions or helping your teammates finish their deliverables while you wait for his feedback. As soon as all of your team's deliverables have been submitted and witnessed, you can get started on the next task.",0,1,0,0,0,0,4,54
2a,Background research on dialysis,Player,7,i can not access a new notebook to complete my assignment,0,0,0,0,0,0,5,11
2a,Graphing Surfactant Data,Mentor,1,"I posted another notebook entry from my old internship in the shared space. In my internship we studied control sensors and power sources, but you're looking at surfactants. Nevertheless, you're welcome to use the example to model your own response after.",1,0,0,0,0,0,4,41
2a,Graphing Surfactant Data,Mentor,1,"After you've submitted a notebook and are waiting for feedback from Alex, you should help any of your teammates who haven't submitted their deliverable yet. You could also wrap up notebook revisions you didn't have time to finish earlier. If you still have time before your team meeting, you may want to start working on the final presentation that you will be giving at the end of the internship. You can find an outline of what Alex expects from your presentations in the resource section of Workpro. I recommend that you start working on the background research section of the presentation now.",0,1,0,0,0,0,4,102
2a,Reflection team discussion of surfactants,Player,2,Where do we go to start the discussion,0,0,0,0,0,0,4,8
2a,Reflection team discussion of surfactants,Player,2,Where do we go to start the discussion?,0,0,1,0,0,0,4,8
2a,Reflection team discussion of surfactants,Mentor,1,"Based on your surfactant graph, how did the surfactants perform relative to one another?",0,0,1,0,1,0,4,14
2a,Reflection team discussion of surfactants,Player,3,Is that mean which two or more are relative?,0,0,1,0,0,0,4,9
2a,Reflection team discussion of surfactants,Mentor,1,Was there one surfactant that was obviously the best choice?,0,0,1,0,0,0,4,10
2a,Reflection team discussion of surfactants,Player,3,"In my table and pattern, Biological surfactant is",0,0,0,0,0,0,4,8
2a,Reflection team discussion of surfactants,Player,3,the best i think,0,0,0,0,0,0,4,4
2a,Reflection team discussion of surfactants,Mentor,1,Was there one surfactant that performed well for every attribute?,0,0,1,0,0,0,4,10
2a,Reflection team discussion of surfactants,Player,7,It was best but had the highest cost,0,0,0,0,0,0,5,8
2a,Reflection team discussion of surfactants,Player,7,Steric Hindering performed well and had a cost less than biological,0,0,0,0,0,0,5,11
2a,Reflection team discussion of surfactants,Player,3,"If the surfactant is more focus on the cost rank and marketability, it is hard to make sure other three quality. No one performed well for everything",0,0,0,0,0,0,4,27
2a,Reflection team discussion of surfactants,Player,2,I somehow managed to miss the assignment which is obviously the bases of this discussion. I am working on it now and will attempt to join the conversation later. Sorry!,0,0,0,0,0,0,4,30
2a,Reflection team discussion of surfactants,Player,6,Yes the most consistent one was Steric Hindering,0,0,0,0,0,0,2,8
2a,Reflection team discussion of surfactants,Player,7,I would agree with Steric Hindering.,0,0,0,0,0,0,5,6
2a,Reflection team discussion of surfactants,Mentor,1,How did you choose the best surfactant?,0,1,1,0,0,0,4,7
2a,Reflection team discussion of surfactants,Player,7,Its overall performance in all 5 attributes.,0,0,0,0,0,0,5,7
2a,Reflection team discussion of surfactants,Player,3,"If i find my chart is wrong, what should i do",0,1,0,0,0,0,4,11
2a,Reflection team discussion of surfactants,Player,4,flux at time equals 0 did not matter as they were all teh same,0,0,0,0,0,0,4,14
2a,Reflection team discussion of surfactants,Player,6,Yeah I prioritized flux the lowest,0,0,0,0,0,0,2,6
2a,Reflection team discussion of surfactants,Player,3,k,0,0,0,0,0,0,4,1
2a,Reflection team discussion of surfactants,Player,8,What are we suppose to be discussing?,0,0,1,0,0,0,4,7
2a,Reflection team discussion of surfactants,Mentor,1,How were the surfactant graphs helpful in making your final surfactant choice?,0,0,1,0,0,0,4,12
2a,Reflection team discussion of surfactants,Player,6,I feel if the Hydrophilic surfactant had a little better blood cell reactivity then it would be the best overall due to its high reliability.,0,0,0,0,1,0,2,25
2a,Reflection team discussion of surfactants,Player,4,They were helpful because they showed the benefits and weaknesses very well and i agree hydrophilic is pretty good with reliability and cost,0,0,0,0,1,0,4,23
2a,Reflection team discussion of surfactants,Player,2,"Well I can tell you that graphs would be helpful so it keeps all data in the same area, in turn that makes it easier to compare and contrast the data.",1,0,0,0,1,0,4,31
2a,Reflection team discussion of surfactants,Player,8,"I think it helped put the numerical data in relation to other surfactants. Some of them appear good on paper, but for example the Biological surfactant looks good on paper but on the graph you can see how much the cost is related to the other surfactants",0,0,0,0,0,0,4,47
2a,Reflection team discussion of surfactants,Mentor,1,Did you value some attributes more than others when choosing the best surfactant?,0,0,1,0,0,0,4,13
2a,Reflection team discussion of surfactants,Player,6,Reliability was a top priority as well as cost,0,0,0,0,0,0,2,9
2a,Reflection team discussion of surfactants,Player,8,"I thought that marketability was the least important, because if something does its job well then the marketability would go up, so it feels like the marketability is a combination of the other 4 attributes combined.",0,0,0,0,0,0,4,36
2a,Reflection team discussion of surfactants,Player,7,Marketability seemed to be lower on the list,0,0,0,0,0,0,5,8
2a,Reflection team discussion of surfactants,Player,2,I think that one of the least would have to be Marketability,0,1,0,0,0,0,4,12
2a,Reflection team discussion of surfactants,Player,3,A company should consider the cost and quality,0,1,0,0,0,0,4,8
2a,Reflection team discussion of surfactants,Player,7,performance was the top priority in my eyes.,0,0,0,0,0,0,5,8
2a,Reflection team discussion of surfactants,Player,2,I think however the cost would be a large factor as well,0,0,0,0,0,0,4,12
2a,Reflection team discussion of surfactants,Player,2,Cost and reliability was the most important to me,0,0,0,0,0,0,4,9
2a,Reflection team discussion of surfactants,Player,3,"People may not choose a product affected by cost, especially it relatives to the life",0,1,0,0,0,0,4,15
2a,Reflection team discussion of surfactants,Player,6,Cost would probably be a huge factor honestly,0,0,0,0,0,0,2,8
2a,Reflection team discussion of surfactants,Player,3,"If i got cancer or others, I will choose the best even if the cost is rather higher than others",0,1,0,0,1,0,4,20
2a,Reflection team discussion of surfactants,Player,6,If you got cancer think about the people paying them bills though,0,0,0,0,0,0,2,12
2a,Reflection team discussion of surfactants,Player,8,"I agree with Zelin, In a non medical situation, cost is very important, but in this situation cost is not as important, because the surfactant that cost the most, does the best job.",0,0,0,0,1,0,4,33
2a,Reflection team discussion of surfactants,Player,2,"Well cost greatly affects marketability. If you have a product that no hospital can keep on hand, then no one will use it. This is a medical company, and profit does need to be made.",0,0,0,0,0,0,4,35
2a,Reflection team discussion of surfactants,Player,5,i agree that cost is a factor but i would rather have a better working surfactant and pay more.,0,0,0,0,0,0,2,19
2a,Reflection team discussion of surfactants,Player,6,This isn't a life or death situation honestly I think the most reliable one would be the best option,0,0,0,0,0,0,2,19
2a,Reflection team discussion of surfactants,Player,4,But in terms of comfort of the patient the most expensive might be the way to go since the blood cell reactivity is lowest in the most expensive,0,0,0,1,1,0,4,28
2a,Reflection team discussion of surfactants,Player,2,"So really it come down to what kind of people we would be selling this product to. Cheaper yet not as comfortable, or expensive and comfortable.",0,0,0,0,1,0,4,26
2a,Reflection team discussion of surfactants,Player,3,Maybe here is another way. Cheap with low quality.,0,0,0,0,0,0,4,9
2a,Reflection team discussion of surfactants,Mentor,1,What should your team's next step be?,0,1,1,0,0,0,4,7
2a,Reflection team discussion of surfactants,Player,7,decide which surfactant to use?,0,0,1,0,0,0,5,5
2a,Reflection team discussion of surfactants,Player,6,The Biological which is the most expensive one but the worst reliability out of the surfactanst which means you will have to go through more of them thus paying a bunch more money even though according to some most expensive equals best quality,0,0,0,0,0,0,2,43
2a,Reflection team discussion of surfactants,Player,2,"That is a good point Royce! Although comfortable, is it reliable?",0,0,1,0,0,0,4,11
2a,Reflection team discussion of surfactants,Player,4,I think steric hindering because it is high quality yet does not cost as much as biological and still has a few better components to it than biological,0,0,0,0,1,0,4,28
2a,Reflection team discussion of surfactants,Player,7,I agree with steric hindering,0,0,0,0,0,0,5,5
2a,Reflection team discussion of surfactants,Player,8,"I agree not to use the biological, but I think the negative charge would be a better choice",0,0,0,0,0,0,4,18
2a,Reflection team discussion of surfactants,Player,8,"It does basically the same job as steric, but cost $60 less",0,0,0,0,0,0,4,12
2a,Reflection team discussion of surfactants,Player,6,I'm saying biological isn't the best. Hydrophilic is my recommendation just because it is the most reliable,0,0,0,0,1,0,2,17
2a,Reflection team discussion of surfactants,Player,7,but has a much better score for marketability for $60 more,0,0,0,0,0,0,5,11
2a,Reflection team discussion of surfactants,Player,8,I thought we determined that marketability did not matter as much as cost,0,0,0,0,0,0,4,13
2a,Reflection team discussion of surfactants,Player,6,Cost matters more than marketability,0,0,0,0,0,0,2,5
2a,Reflection team discussion of surfactants,Player,2,So can we agree to eliminate Bio and Steric?,0,0,1,0,0,0,4,9
2a,Reflection team discussion of surfactants,Player,6,Yes,0,0,0,0,0,0,2,1
2a,Reflection team discussion of surfactants,Player,7,sure,0,0,0,0,0,0,5,1
2a,Reflection team discussion of surfactants,Player,8,"I think we need to here from everyone, but yes I agree",0,0,0,0,0,0,4,12
2a,Reflection team discussion of surfactants,Player,8,hear,0,0,0,0,0,0,4,1
2a,Reflection team discussion of surfactants,Player,3,agree,0,0,0,0,0,0,4,1
2a,Reflection team discussion of surfactants,Player,7,so is negative our best option?,0,0,1,0,1,0,5,6
2a,Reflection team discussion of surfactants,Player,6,no Hydrophilic,0,0,0,0,0,0,2,2
2a,Reflection team discussion of surfactants,Player,2,"Correct, so we have narrowed it down to 2 possible candidates.",0,0,0,0,0,0,4,11
2a,Reflection team discussion of surfactants,Player,6,Better reliability and cost,0,0,0,0,0,0,2,4
2a,Reflection team discussion of surfactants,Player,2,Negative charge and Hydrophilic,0,0,0,0,0,0,4,4
2a,Reflection team discussion of surfactants,Player,8,I think we need more research looking into how the beta- thermoheglobin effects the blood long term,0,0,0,0,0,0,4,17
2a,Reflection team discussion of surfactants,Player,5,more research never hurt anyone,0,0,0,0,0,0,2,5
2a,Reflection team discussion of surfactants,Player,3,right  need more data,0,0,0,0,0,0,4,4
2a,Reflection team discussion of surfactants,Player,8,"I would be fine using hydrophilic, but I want to look at the effects of blood reactivity",0,0,0,0,0,0,4,17
2a,Reflection team discussion of surfactants,Player,2,Okay!,0,0,0,0,0,0,4,1
2a,Reflection team discussion of surfactants,Player,2,Is this meeting over than Maria?,0,0,1,0,0,0,4,6
2a,Reflection team discussion of surfactants,Player,2,can anyone tell me how to get the reliablility numbers and flux umbers?,0,0,1,0,0,0,4,13
2a,Reflection team discussion of surfactants,Player,2,Scratch that. Figured it out!,0,0,0,0,0,0,4,5
2a,Summarize internal consultant requirements,Mentor,1,"Hey everyone, I just posted my write-up of mechanical engineering consultants' requirements during my time as an intern. You can find my write-up in the shared space.",0,0,0,0,0,0,4,27
2a,Summarize internal consultant requirements,Mentor,1,"At Nephrotex, we have internal consultants who are experts in their fields.",0,0,0,0,0,0,4,12
2a,Summarize internal consultant requirements,Mentor,1,Let me know if you have any questions about their requirements for membrane design.,0,0,0,0,0,0,4,14
2a,Summarize internal consultant requirements,Mentor,1,You probably want to check their staff pages for more information too.,0,0,0,0,0,0,4,12
2a,Summarize internal consultant requirements,Player,2,What would you like us to put in the attribute portion of the notebook?,0,0,1,0,0,0,4,14
2a,Summarize internal consultant requirements,Player,8,"I am confused about a few things with this system. Alex emailed me at 12:30am this morning telling me I need to revise my notebook entry and resubmit. Obviously I did not see this email until I logged on today at 1:30, and at 1:29 he sent me an email saying it is too late to submit the revisions and I should move on. I am just worried that I am missing points for stuff that wasn't my control, and is there a better way to manage communication.",1,1,0,0,0,0,4,88
2a,Summarize internal consultant requirements,Player,2,Thank You!,0,0,0,0,0,0,4,2
2a,Summarize internal consultant requirements,Player,5,what about recommendation,0,0,0,0,0,0,2,3
2a,Summarize internal consultant requirements,Player,5,ok thank you,0,0,0,0,0,0,2,3
2a,Summarize internal consultant requirements,Player,8,"How do we talk about the standards for marketability, when it relates to the cost?",0,0,1,0,0,0,4,15
2a,Summarize internal consultant requirements,Player,8,specifically for Rudy hernandex,0,0,0,0,0,0,4,4
2a,Choose consultants to analyze,Mentor,1,"As an intern, I had to describe how certain inputs influence outputs. I've posted my write-up in the shared space for your reference.",0,0,0,0,0,0,4,23
2a,Choose consultants to analyze,Mentor,1,"Your goal here is to understand how, given a particular material, the different design parameters affect the attributes of the prototype.",0,0,0,0,0,0,4,21
2a,Choose consultants to analyze,Mentor,1,Alex wants you to figure out which design choices the different internal consultants will favor assuming we were to use your team's material.,0,0,0,0,0,0,4,23
2a,Choose consultants to analyze,Player,4,how would we recommend a surfactant that does not meet requirements such as the the person who wants a flux rate of 13.5 however the highest flux available is only 11,0,0,0,0,1,0,4,31
2a,Choose consultants to analyze,Player,8,"I am reading our assignment due Friday, and I am not understanding it. Do we review that consultants from today's assignment?",0,0,1,0,0,0,4,21
2a,Choose consultants to analyze,Player,8,"I can do Padma Rao, what does everyone else want?",0,0,1,0,0,0,4,10
2a,Choose consultants to analyze,Player,2,I will do Michelle Proctor!,0,0,0,0,0,0,4,5
2a,Choose consultants to analyze,Player,4,ill do Alan DuChamp,0,0,0,0,0,0,4,4
2a,Choose consultants to analyze,Player,5,ill do Michelle Proctor,0,0,0,0,0,0,2,4
2a,Choose consultants to analyze,Player,5,actually ill to Rudy Hernandez,0,0,0,0,0,0,2,5
2a,Individuals design 5 prototypes,Player,6,This is all just a game,0,0,0,0,0,0,2,6
2a,Individuals design 5 prototypes,Mentor,1,"Back in my internship, I had to justify the design decisions I made, and found it a very useful practice. Working for Alex, I know he would like to see a similar style of justification, so I posted an old notebook of mine in the shared space for your reference.",0,0,0,0,0,1,4,50
2a,Individuals design 5 prototypes,Player,6,Your not real,0,0,0,0,0,0,2,3
2a,Individuals design 5 prototypes,Player,5,you're*,0,0,0,0,0,0,2,1
2a,Individuals design 5 prototypes,Mentor,1,"Just to be clear, each team member should design 5 prototypes using only PRNLT materials.",0,1,0,0,0,1,4,15
2a,Individuals design 5 prototypes,Player,8,How do I put my notebook on shared space,0,0,0,0,0,0,4,9
2a,Individuals design 5 prototypes,Player,5,you check the box,0,0,0,0,0,0,2,4
2a,Individuals design 5 prototypes,Player,8,thank yo,0,0,0,0,0,0,4,2
2a,Individuals design 5 prototypes,Player,8,you,0,0,0,0,0,0,4,1
2a,Individuals design 5 prototypes,Player,6,"Maria, to clarify are you a real person or is this just all a game?",0,0,1,0,0,0,2,15
2a,Individuals design 5 prototypes,Player,6,"Maria, I googled Nephrotex and it came up as a game for undergraduate engineers what is going on here?",0,0,1,0,0,0,2,19
2a,Introduction and Workflow Tutorial with Entrance Interview,Mentor,1,"Keep in mind that your supervisor and other Nephrotex employees can read the record of this discussion. Please stay on task, Royce.",0,0,0,0,0,0,4,22
2a,Individuals design 5 prototypes,Player,2,Can someone please better explain to me what exactly CNT% means?,0,0,1,0,0,0,4,11
2a,Individuals design 5 prototypes,Player,6,Carbon nanotube,0,0,0,0,0,0,2,2
2a,Individuals design 5 prototypes,Player,2,Right but what does the percent mean?,0,0,1,0,0,0,4,7
2a,Individuals design 5 prototypes,Player,6,IDK,0,0,0,0,0,0,2,1
2a,Individuals design 5 prototypes,Player,4,how many there are in the concentration of the solution,0,0,0,0,0,0,4,10
2a,Individuals design 5 prototypes,Player,2,The amount of nano tubes in the filter?\,0,0,1,0,0,0,4,8
2a,Individuals design 5 prototypes,Player,2,Thank you!,0,0,0,0,0,0,4,2
2a,Individuals design 5 prototypes,Player,8,"yes, there is a research study under resources if you need a reference",0,0,0,0,0,0,4,13
2a,Individuals design 5 prototypes,Player,4,are we only making prototypes for our consultant,0,0,0,0,0,0,4,8
2a,Individuals design 5 prototypes,Player,8,From what I understand its one for each of the five consultants.,0,0,0,0,0,0,4,12
2a,Individuals design 5 prototypes,Player,6,Definitely based on your own consultant,0,0,0,1,0,0,2,6
2a,Individuals design 5 prototypes,Mentor,1,"Alex wanted me to inform you of a few things you can do after you submit a notebook. You can help your teammates complete their deliverables, revise incomplete notebooks, or work on your presentation. Your presentation should include everything on the presentation outline, which is located in the resources section of Workpro. You may want to consider doing some research on design challenges about developing a dialyzer.",0,1,0,0,0,0,4,67
2a,Team designs batch using 1 material,Player,8,do the five designs we chose need to fulfill the requirements of the consultants,0,1,0,0,0,0,4,14
2a,Team designs batch using 1 material,Player,8,?,0,0,1,0,0,0,4,1
2a,Team designs batch using 1 material,Player,7,"other than the PRNLT material, are there any other variables that we feel should remain constant over all 5 models that we test? 10% CNT was something I thought would be best to not change. Thoughts?",1,1,1,0,0,0,5,36
2a,Team designs batch using 1 material,Player,5,i think the Dry jet is the most efficient and economical process,0,0,0,0,0,0,2,12
2a,Team designs batch using 1 material,Player,8,I also agree,0,0,0,0,0,0,4,3
2a,Team designs batch using 1 material,Player,2,Can someone go over those please. I do not understand what any of those mean. With Royce's workbook I concluded that vapor was the best. Where can I find more information?,0,0,1,0,0,0,4,31
2a,Team designs batch using 1 material,Player,7,"""Device Specifications - Polyrenalate(PRNLT)

- Choose consultants to analyze"" in resources",0,1,0,0,0,0,5,10
2a,Team designs batch using 1 material,Player,5,and with a CNT% of between 5 and 10%.  double checking but we want a high flux correct?,0,0,1,0,0,0,2,18
2a,Team designs batch using 1 material,Mentor,1,Don't forget to attach your team's new batch in your notebook.,0,0,0,0,0,0,4,11
2a,Team designs batch using 1 material,Mentor,1,"Alex will upload your design specifications to the server after you submit your justifications. Each member on your team needs to attach and submit the same batch for testing. Once the first team member attaches and submits your team's batch, the rest of your team members will only have the option to attach that same batch.",0,0,0,0,0,0,4,56
2a,Team designs batch using 1 material,Player,8,We want whatever is best all around.,0,0,0,0,0,0,4,7
2a,Team designs batch using 1 material,Player,2,High flux is good yes. That means the less time they have to spend on the machine,0,0,0,0,0,0,4,17
2a,Team designs batch using 1 material,Player,8,and less cost for the customer over time,0,0,0,0,0,0,4,8
2a,Team designs batch using 1 material,Player,8,this would also increase the marketability if we had 10% carbon nanotubes,0,0,0,0,0,0,4,12
2a,Team designs batch using 1 material,Player,7,"So keeping PRNLT and dry- jet wet constant and varying CNT % between 5-10%, what surfactants would be best to use?",1,1,1,0,1,0,5,21
2a,Team designs batch using 1 material,Player,5,5-10% wouldnt be as costly as say 20% and that wouldnt even be effective. so 5-10% is good,0,0,0,0,1,0,2,18
2a,Team designs batch using 1 material,Player,8,I think that honestly biological is way to much money,0,0,0,0,0,0,4,10
2a,Team designs batch using 1 material,Player,2,I agree!,0,0,0,0,0,0,4,2
2a,Team designs batch using 1 material,Player,5,i think last time we had it down to negative and they hydophillic,0,0,0,0,0,0,2,13
2a,Team designs batch using 1 material,Player,7,from discussion we determined hydrophilic and negative charge were best surfacants to use?,0,0,1,0,1,0,5,13
2a,Team designs batch using 1 material,Player,2,Biological is just not plausible. Its expensive and nonrelaible,0,0,0,0,0,0,4,9
2a,Team designs batch using 1 material,Player,5,ok so not biological,0,0,0,0,0,0,2,4
2a,Team designs batch using 1 material,Player,8,"I think we should keep CNT, PRNLT, and Dry-Jet, and vary the between steric, negative charge, and hydrophilic",1,1,0,0,0,0,4,18
2a,Team designs batch using 1 material,Player,5,we could also mix up the percents inside of the range we decided on,0,0,0,0,0,0,2,14
2a,Team designs batch using 1 material,Player,8,yes we do need 5.,0,0,0,0,0,0,4,5
2a,Team designs batch using 1 material,Player,4,i think keeping the CNT at 10% is best because it has the best flux and a decent reliability then,0,0,0,0,1,0,4,20
2a,Team designs batch using 1 material,Player,7,i agree,0,0,0,0,0,0,5,2
2a,Team designs batch using 1 material,Player,8,We need to have variation somewhere to get 5 prototypes,0,0,0,0,0,0,4,10
2a,Team designs batch using 1 material,Player,8,so what else should change>,0,1,0,0,0,0,4,5
2a,Team designs batch using 1 material,Player,2,I think that it should stay at 10% as well,0,1,0,0,0,0,4,10
2a,Team designs batch using 1 material,Player,3,so 3 surfacant,0,0,0,0,0,0,4,3
2a,Team designs batch using 1 material,Player,5,my proto 2 could work for one of them,0,0,0,0,0,0,2,9
2a,Team designs batch using 1 material,Player,8,ill start making the batch,0,0,0,0,0,0,4,5
2a,Team designs batch using 1 material,Player,4,we could vary the manufacturing processes used,1,0,0,0,0,0,4,7
2a,Team designs batch using 1 material,Player,5,the other processes become expensive i believe,0,0,0,0,0,0,2,7
2a,Team designs batch using 1 material,Player,7,dry- jet was cheapest,0,0,0,0,0,0,5,4
2a,Team designs batch using 1 material,Player,7,$70/ unit,0,0,0,0,0,0,5,2
2a,Team designs batch using 1 material,Player,8,"I have Tyler 4, Rachel 2 Royce 3 so far",0,0,0,0,0,1,4,10
2a,Team designs batch using 1 material,Player,5,also royces matrix III,0,0,0,0,0,0,2,4
2a,Team designs batch using 1 material,Player,3,try this with 2 surfacant?,0,0,1,0,0,0,4,5
2a,Team designs batch using 1 material,Player,7,probably the best process to use but we could test others like vapor deposition because had 75% performance for 7 hours,0,0,0,0,1,0,5,21
2a,Team designs batch using 1 material,Player,5,tylers 3 and 4th prototypes fit,0,0,0,0,0,0,2,6
2a,Team designs batch using 1 material,Player,8,"I have tyler 4, rachel 2, and royce 3",0,0,0,0,0,0,4,9
2a,Team designs batch using 1 material,Player,8,"those are all dry-jet, 10%CNT, and have the three different surfactants",0,0,0,0,0,0,4,11
2a,Team designs batch using 1 material,Player,7,those 3 are good to start,0,0,0,0,0,0,5,6
2a,Team designs batch using 1 material,Player,5,Someone could make  a new device that would fit our specifications,0,0,0,0,0,0,2,11
2a,Team designs batch using 1 material,Player,8,Maybe we should do 2 of phase inversion,0,1,0,0,0,0,4,8
2a,Team designs batch using 1 material,Player,8,because cost is only $20 more,0,0,0,0,0,0,4,6
2a,Team designs batch using 1 material,Player,2,I honestly find phase inversion pointless it is more expenisive and has a higher blood cell reactivity. And it is not as reliable.,0,0,0,0,0,0,4,23
2a,Team designs batch using 1 material,Player,8,higher flux,0,0,0,0,0,0,4,2
2a,Team designs batch using 1 material,Player,5,there i made another one called proto 6,0,0,0,0,0,0,2,8
2a,Team designs batch using 1 material,Player,7,1 ng/ml is not worth the $10 cost increase,0,0,0,0,0,0,5,9
2a,Team designs batch using 1 material,Player,4,what about the Vapor one,0,0,0,0,0,0,4,5
2a,Team designs batch using 1 material,Player,4,it has a very high reliability and is only 20$more,0,0,0,0,0,0,4,10
2a,Team designs batch using 1 material,Player,7,"vapor had much higher performance, 7 hours. worth testing",0,0,0,0,0,0,5,9
2a,Team designs batch using 1 material,Player,2,I like vapor,0,0,0,0,0,0,4,3
2a,Team designs batch using 1 material,Player,4,and it has the lowest blood cell reactivty,0,0,0,0,0,0,4,8
2a,Team designs batch using 1 material,Player,5,proto 6 will be cheaper because of less CNT but it will still be as affective if you look at the graph,0,0,0,0,1,0,2,22
2a,Team designs batch using 1 material,Player,4,@Brandon B. you vape bro?,0,0,1,0,0,0,4,5
2a,Team designs batch using 1 material,Player,7,lol,0,0,0,0,0,0,5,1
2a,Team designs batch using 1 material,Player,2,haha,0,0,0,0,0,0,4,1
2a,Team designs batch using 1 material,Player,5,Someone else make another one that works,0,0,0,0,0,0,2,7
2a,Team designs batch using 1 material,Player,2,Rachel I really do like the CNT at 10%,0,0,0,0,0,0,4,9
2a,Team designs batch using 1 material,Player,8,"lets vote, if you want to change CNT % , Enter 1. if you want change process enter 2",0,0,0,0,0,0,4,19
2a,Team designs batch using 1 material,Player,5,1,0,0,0,0,0,0,2,1
2a,Team designs batch using 1 material,Player,2,2,0,0,0,0,0,0,4,1
2a,Team designs batch using 1 material,Player,7,2,0,0,0,0,0,0,5,1
2a,Team designs batch using 1 material,Player,5,theres literally no point in changing the process,0,0,0,0,0,0,2,8
