content,content_processed
correct narrowed possible candidates,correct narrow 2 possible candidate
better reliability cost,better reliability cost
negative charge hydrophilic,negative charge hydrophilic
think need research looking thermoheglobin effects blood long term,think need research look beta thermoheglobin effect blood long term
research never hurt anyone,research never_hurt anyone
right need data,right need data
would fine using hydrophilic want look effects blood reactivity,would fine use hydrophilic want look effect blood activity
okay,okay
meeting maria,meeting maria
anyone tell get reliablility numbers flux umbers,anyone tell get reliability number flux number
scratch figured,scratch figure
hey everyone posted mechanical engineering consultants requirements time intern find shared space,hey everyone just post write mechanical engineering consultant ' requirement time inter find write shared space
nephrotex internal consultants experts fields,nephrotex internal consultant expert field
let know questions requirements membrane design,let know question requirement membrane design
probably want check staff pages information,probably want check staff page information
would like us put attribute portion notebook,would like us put attribute portion notebook
confused things system alex emailed morning telling need revise notebook entry resubmit obviously see email logged today sent email saying late submit revisions move worried missing points stuff control better way manage communication,confuse thing system alex email 12 morning tell need revise notebook entry submit obviously not_see email log today 1 30 1 29 send email say late submit revision move just worry miss point stuff not_my control good way manage communication
thank,thank
recommendation,recommendation
ok thank,ok thank
talk standards marketability relates cost,talk standard marketability relate cost
specifically rudy hernandex,specifically rudy hernandex
intern describe certain inputs influence outputs posted shared space reference,inter describe certain input influence output post write shared space reference
goal understand given particular material different design parameters affect attributes prototype,goal understand give particular material different design parameter affect attribute prototype
alex wants figure design choices different internal consultants favor assuming use team material,alex want figure design choice different internal consultant favor assume use team 's material
would recommend surfactant meet requirements person wants flux rate however highest flux available,would recommend surfactant not_meet requirement person want flux rate 13 5 however high flux available only 11
reading assignment due friday understanding review consultants today assignment,read assignment due friday not_understanding review consultant today 's assignment
padma rao everyone else want,padma rao everyone else want
michelle proctor,michelle proctor
ill alan duchamp,ill alan duchamp
ill michelle proctor,ill michelle proctor
actually ill rudy hernandez,actually ill rudy hernandez
game,just game
back internship justify design decisions made found useful practice working alex know would like see similar style justification posted old notebook mine shared space reference,back internship justify design decision make find useful practice work alex know would like see similar style justification post old notebook mine shared space reference
real,not_real
, 
clear team member design prototypes using prnlt materials,just clear team member design 5 prototype use only prnlt material
put notebook shared space,put notebook share space
check box,check box
thank yo,thank yo
, 
maria clarify real person game,maria clarify real person just game
maria googled nephrotex came game undergraduate engineers going,maria google nephrotex come game undergraduate engineer go
keep mind supervisor nephrotex employees read record discussion please stay task royce,keep mind supervisor nephrotex employee read record discussion please stay task royce
someone please better explain exactly cnt means,someone please good explain exactly cnt mean
carbon nanotube,carbon nanotube
right percent mean,right percent mean
idk,not_know
many concentration solution,many concentration solution
amount nano tubes filter,amount nano tube filter
thank,thank
yes research study resources need reference,yes research study resource need reference
making prototypes consultant,only make prototype consultant
understand one five consultants,understand one five consultant
definitely based consultant,definitely base consultant
alex wanted inform things submit notebook help teammates complete deliverables revise incomplete notebooks work presentation presentation include everything presentation outline located resources section workpro may want consider research design challenges developing dialyzer,alex want inform thing submit notebook help teammate complete deliverable revise incomplete notebook work presentation presentation include everything presentation outline locate resource section workpro may want consider research design challenge develop dialyzer
five designs chose need fulfill requirements consultants,five design choose need fulfill requirement consultant
, 
prnlt material variables feel remain constant models test cnt something thought would best change thoughts,prnlt material variable feel remain constant 5 model test 10 cnt something think would best not_change thought
think dry jet efficient economical process,think dry jet efficient economical process
also agree,also agree
someone go please understand mean royce workbook concluded vapor best find information,someone go please not_understand mean royce 's workbook conclude vapor best find information
device specifications polyrenalate prnlt choose consultants analyze resources,device specifications polyrenalate prnlt choose consultant analyze resource
cnt double checking want high flux correct,cnt 5 10 double check want high flux correct
forget attach team new batch notebook,not_forget attach team 's new batch notebook
alex upload design specifications server submit justifications member team needs attach submit batch testing first team member attaches submits team batch rest team members option attach batch,alex unload design specification server submit justification member team need attach submit same batch test first team member attache submits team 's batch rest team member only option attach same batch
want whatever best around,want whatever best around
high flux good yes means less time spend machine,high flux good yes mean less time spend machine
less cost customer time,less cost customer time
would also increase marketability carbon nanotubes,would also increase marketability 10 carbon nanotube
keeping prnlt jet wet constant varying cnt surfactants would best use,keep prnlt dry jet wet constant vary cnt 5 10 surfactant would best use
wouldnt costly say wouldnt even effective good,5 10 would not_be costly say 20 would not_even effective 5 10 good
think honestly biological way much money,think honestly biological way much money
agree,agree
think last time negative hydophillic,think last time negative hydophillic
discussion determined hydrophilic negative charge best surfacants use,discussion determine hydrophilic negative charge best surfacants use
biological plausible expensive nonrelaible,biological just not_plausible expensive nonrelaible
ok biological,ok not_biological
think keep cnt prnlt vary steric negative charge hydrophilic,think keep cnt prnlt dry jet vary steric negative charge hydrophilic
could also mix percents inside range decided,could also mix percent inside range decide
yes need,yes need 5
think keeping cnt best best flux decent reliability,think keep cnt 10 best best flux decent reliability
agree,agree
need variation somewhere get prototypes,need variation somewhere get 5 prototype
else change,else change
think stay well,think stay 10 well
surfacant,3 surfacant
proto could work one,proto 2 could work one
ill start making batch,ill start make batch
could vary manufacturing processes used,could vary manufacturing process use
processes become expensive believe,process become expensive believe
jet cheapest,dry jet cheap
unit,70 unit
tyler rachel royce far,tyler 4 rachel 2 royce 3 far
also royces matrix iii,also royces matrix iii
try surfacant,try 2 surfacant
probably best process use could test others like vapor deposition performance hours,probably best process use could test others like vapor deposition 75 performance 7 hour
tylers prototypes fit,tyler 3 th prototype fit
tyler rachel royce,tyler 4 rachel 2 royce 3
cnt three different surfactants,dry jet 10 cnt three different surfactant
good start,3 good start
someone could make new device would fit specifications,someone could make new device would fit specification
maybe phase inversion,maybe 2 phase inversion
cost,cost only 20
honestly find phase inversion pointless expenisive higher blood cell reactivity reliable,honestly find phase inversion pointless expensive high blood cell activity not_as reliable
higher flux,high flux
made another one called proto,make another one call proto 6
worth cost increase,1 no_ml not_worth 10 cost increase
vapor one,vapor one
high reliability,high reliability only 20
vapor much higher performance hours worth testing,vapor much high performance 7 hour worth test
like vapor,like vapor
lowest blood cell reactivty,low blood cell reactive
proto cheaper less cnt still affective look graph,proto 6 cheap less cnt still effective look graph
brandon vape bro,brandon b vape bro
lol,laughing loud
haha,hata
someone else make another one works,someone else make another one work
rachel really like cnt,rachel really like cnt 10
lets vote want change cnt enter want change process enter,let us vote want change cnt enter 1 want change process enter 2
,1
,2
,2
theres literally point changing process,literally no_point change process
proto tyler rachel,proto 6 tyler 4 rachel 2 royce3
,1
,2
rachel explain,rachel explain
,2
ok well looks like process rachel explain,ok well look like process rachel explain
dry jet effective money also cheapest win win,dry jet effective money also cheap win win
need different options vapor offeres better reliability,need different option vapor offer well reliability
know reliable,know reliable
although true need prototypes already agreed would give us best result,although true need 5 prototype already 3 agree 10 would give us best result
think vapor worth extra cost much better reliability,think vapor worth extra cost much good reliability
worth testing least,worth test least
reliable vapor reaches effectivness hours dry jet reaches hours,reliable vapor reach 75 effectiveness 7 hour dry jet reach 5 hour
ok,ok
two vapor different surfactants,two vapor different surfactant
someone going design one made specifics,someone go design one made specific
negative charge hydrophilic since determined last discussion,negative charge hydrophilic since determine last discussion
still prototypes left dont one changing cnt one changing process,still 2 prototype leave not_we one change cnt one changing process
negative hydrophillic,negative hydrophillic
first one looking hydrophilic,first one look hydrophilic
sounds good brandon,sound good brandon
changing cnt isnt bad idea either,change cnt not_a bad idea either
one,one 2
need two change similiar thing compare two,need two change similar thing compare two
good point,good point
vote change part,vote change part
already favor process,already 4 2 favor process
say change process,say change process
using negative hydrophillic,use negative hydrophillic
yes,yes
bump,bump
ill make negative someone make hydro,ill make negative someone make hydra
first one hydro,first one hydra
use jacks,use jack
creating batch,create batch
called final batch,call final batch
thank chester,thank chester
ok good go,ok good go
gg guys,gg gun
received lab results internship analyze write findings remember difficult first couple times posted one old lab shared space reference remember analysis include important information concise alex want able find key points analysis quickly,receive lab result internship analyze write finding remember difficult first couple time post one old lab write ups shared space reference just remember analysis include important information concise well organize alex want able find key point analysis quickly
dont see results lab,not_see result lab
see results either,not_see result either
believe resultes available simply go feeds tool scroll batches click view results final batch,believe result available simply go feeds tool stroll batch click view result final batch
starting meeting,start meeting
ever maria starts facilitating,ever maria start facilitate
okay everyone let get going want hear meeting,okay everyone let us get go want hear meeting
please see meeting summary example posted shared space earlier internship need example notebook,please see meeting summary example post shared space earlier internship need example notebook
team received batch results successful trial,team receive batch result successful trial
believe successful trial,believe successful trial
think successful designs pros cons,think successful design pro con
think pretty successful trial think numbers got good way compare everything,think pretty successful trial think number get good way compare everything
think alot easier see pros cons one see compare,think alot easy see pro con one see compare
yeah lot similarities though prototypes,yeah lot similarity though prototype
choose one one would top choice,choose one one would top choice
tests results clear determine prototypes successful fell short expectations,test result clear determine prototype successful fell short expectation
discover design problem,discover design problem
order choose prototype want look categories prioritize,order choose prototype want look 5 category prioritize
yeah like cost issue think negative best option,yeah like cost not_an issue think negative best option
agree jack best overall performance attributes,agree jack best overall performance attribute
think marketability cost important,think marketability cost important
, 
marketability,marketability
would say cost probabably important,would say cost probably important
marketability,marketability
well range products dollars think marketability matters,well range product only 30 dollar think marketability matter
cost important,cost important
yeah going selling one item going selling thousands thousands big difference,yeah not_going sell just one item go sell thousand thousand 10 big difference
plus people look buy product going looking cost relation quality,plus people look buy product go look cost relation quality
maria take research pick best qualities prototype combine new one,maria take research pick best quality prototype combine new one
okay go ahead make cost main category looking,okay go ahead make cost main category look
know different design choices affect properties device,know not_before different design choice affect property device
carbon nanotubes effect almost ever attribute except bcr,carbon nanotube effect almost ever attribute except bcr
ones dry jet less reliable,one dry jet less reliable
think vapor lot better wet,think vapor lot good dry jet wet
worth extra money,worth extra money
vapor provide higher flux,vapor provide high flux
much higher flux higher reliabbility,much high flux high reliability
would say yes opinion,would say yes opinion
also hydrophilic surfactant bad reliability,also hydrophilic surfactant bad reliability
blood cell reactivity,blood cell activity
jacks look reasonable except bcr,jack look reasonable except bcr
vapor way go categories prioritizng,vapor way go category prioritizng
want high flux low bcr correct,want high flux low bcr correct
think blood cell reactivity important,think blood cell activity important
yes,yes
yeah think definitly try shoot bcr,yeah think definitely try shoot 65 56 bar
agree,agree
prnlt vapor negative charge expensive,prnlt vapor negative charge 10 0 expensive
put vapor mine would increase reliability,put vapor mine would increase reliability
flux,flux
flux reliability,just flux not_reliability
yeah llooks like,yeah look like
would make price high best marketability,would make price high best marketability
probably would determined vapor much expenmsive seeming already second expensive would expensive,probably would determine vapor much expensive dry jet seem already second expensive would expensive 150
true best surfactant,true best surfactant
negative charge,negative charge
depends consultant wants,depend consultant want
negative causes lower bcr,negative cause low bcr
negative charge,negative charge
yes,yes
okay negative charge,okay negative charge
important cost bcr,important cost bcr
feel need experiment steric hinderance since results negative charge,feel need experiment steric hindrance since same result negative charge just 10
agree tyler,agree tyler
yeah would like see steric hindrance vapor,yeah would like see steric hindrance vapor
compare vapor high flux high cost,compare vapor dry jet high flux high cost
yeah vapor steric might best ignore cost already good marketability bcr,yeah vapor steric might best ignore cost already good marketability bcr
high reliability,high reliability
feel cost worth,feel cost worth
people want buy top line products anyways,people want buy top line product anyway
results prove prototype performs best overall cost big factor,result prove prototype perform best overall cost not_be big factor
,tru
yes feel like healthcare quality,yes feel like healthcare quality
exactly supposed conclude discussion maria,exactly suppose conclude discussion maria
conluded,conclude
need testing steric hindering,need test steric hindering
performance cost,performance cost
, 
yeah change steric dry vapor,yeah just change steric dry vapor
testing done vapor process well,testing vapor process well
would agree tyler,would agree tyler
okay meeting done,okay meeting
bump,bump
think thats talking today,think talk today
aww im gon na miss guys,aww go miss gun '
haha bye guys,haha bye gun
hello team welcome nephrotex,hello team welcome nephrotex
maria williams design advisor internship,maria williams design adviser internship
help questions,help question
please introduce name prefer called workpro records work review external consultant improve quality internship program ask use first name internship protect privacy,please introduce name prefer call workpro record work review external consultant improve quality internship program ask use first name only internship protect privacy
want make sure everyone found chat interface please send chat check group make chat window bigger clicking icon top right corner,just want make sure everyone find chat interface please send chat check group make chat window big click icon top right corner
check,check
name colin,name colin
name jonathan,name jonathan
jared,jar
name daniel,name daniel
adam,adam
already please check email,not_already please check email
throughout time nephrotex receiving emails boss alex send instructions work throughout course internship,throughout time nephrotex receive email bos alex send instruction work throughout course internship
please check deliverable list bottom right corner workpro,please check deliverance list bottom right corner workpro
deliverables assigned show list able check see original email instructions alex sent whether submitted deliverable whether vedant approved deliverable,deliverable assign show list able check see original email instruction alex send whether submit deliverance whether vedant approve deliverance
detailed information deliverable list click info button top right corner deliverables list tab,detailed information deliverance list click button top right corner deliverables list tab
provided summary workflow resource shared space plagiarism tolerated make sure paraphrase summary notebook entry,provide summary workflow resource shared space plagiarism not_tolerated make sure paraphrase summary notebook entry
cecilia,cecilia
done notebook entry submit alex clicking submit button middle notebook window,notebook entry submit alex click submit button middle notebook window
wo able edit entry submitted need update correct work cancel submission clicking x deliverables list,not_be able edit entry submit need update correct work cancel submission click x deliverables list
cancel submissions alex viewed make sure included everything required submitting,only cancel submission alex view make sure include everything require submit
soon submit notebook alex review send feedback soon waiting assist teammates submitted deliverable team able move next task team members notebooks witnessed,soon submit notebook alex review send feedback soon wait assist teammate not_submitted deliverance team not_be able move next task team member ' notebook witness
back undergrad interned mechanical engineering company designed exoskeletons rescue workers working different project put example summary used previous project shared space alex pretty similar boss internship welcome use template write note language length response,back undergrad internet mechanical engineering company design exoskeleton rescue worker work different project put example summary use previous project shared space alex pretty similar bos internship welcome use temple write note language length response
please pay close attention citation methods used example know alex stickler following correct citation methods,please pay close attention citation method use example know alex stickler follow correct citation method
finished notebook submission,finish notebook submission
day two filling background research dialysis notebook turning,day two fill background research dialysis notebook turn
acceptable give web address citation need formal,acceptable just give web address citation need formal
mla format another type acceptable,mla format another type acceptable
cite given sources nephrotex,cite give source nephrotex
alex receives notebook receive email feedback shortly thereafter recommend completing notebook revisions helping teammates finish deliverables wait feedback soon team deliverables submitted witnessed get started next task,alex receive notebook receive email feedback shortly thereafter recommend complete notebook revision help teammate finish deliverable wait feedback soon team 's deliverable submit witness get start next task
posted another notebook entry old internship shared space internship studied control sensors power sources looking surfactants nevertheless welcome use example model response,post another notebook entry old internship shared space internship study control sensory power source look surfactant nevertheless welcome use example model response
submitted notebook waiting feedback alex help teammates submitted deliverable yet could also wrap notebook revisions time finish earlier still time team meeting may want start working final presentation giving end internship find outline alex expects presentations resource section workpro recommend start working background research section presentation,submit notebook wait feedback alex help teammate not_submitted deliverance yet could also wrap notebook revision not_have time finish early still time team meeting may want start work final presentation give end internship find outline alex expect presentation resource section workpro recommend start work background research section presentation
based surfactant graph surfactants perform relative one another,base surfactant graph surfactant perform relative one another
found perform different catagory example hydrophilic surfactant performed well well wa sprices hand biological surfactant perform well even though expensive surfactant option available,find perform different category example hydrophilic surfactant perform well well wa price hand biological surfactant not_perform well even though expensive surfactant option available
terms rated flux score catagories price reliability blood reactivity marketability varied based type surfactant,term rat same flux score category price reliability blood activity marketability vary base type surfactant
noticed thought could claim made different ones best,notice same think could claim make different one best
one surfactant obviously best choice,one surfactant obviously best choice
surfactant worst biological surfactant lasted twice long none negative steric hindrance surfactants lasted times long none hydrophilic lasted times long best effect,no_surfactant bad biological surfactant last twice long none_negative steric hindrance surfactant last 3 time long none_hydrophilic last 5 time long best effect
agree depends qualities surfacants least desirable,agree depend quality surfacants least desirable
one surfactant performed well every attribute,one surfactant perform well every attribute
agreed well perfect best surfactant recommended hydrophilic due inexpensize cost solid performance almost every catagory,agree well no_perfect best surfactant recommend hydrophilic due inexpensize cost solid performance almost every category
flux surfactant lasted hour biological surfactant two steric hindrance negative charge surfactants lasted hours hydrophilic surfactant lasted full five hours dropping productivity,flux no_surfactant last only 1 hour biological surfactant two steric hindrance negative charge surfactant last 3 hour hydrophilic surfactant last full five hour drop 75 productivity
steric hindering seemed surfactant fewest weak points overall would recommend hydrophilic,steric hindering seem surfactant weak point overall would recommend hydrophilic
flux surfactant lasted hour biological surfactant two steric hindrance negative charge surfactants lasted hours hydrophilic surfactant lasted full five hours dropping productivity,flux no_surfactant last only 1 hour biological surfactant two steric hindrance negative charge surfactant last 3 hour hydrophilic surfactant last full five hour drop 75 productivity
flux surfactant lasted hour biological surfactant two steric hindrance negative charge surfactants lasted hours hydrophilic surfactant lasted full five hours dropping productivity,flux no_surfactant last only 1 hour biological surfactant two steric hindrance negative charge surfactant last 3 hour hydrophilic surfactant last full five hour drop 75 productivity
result surfactant performed well every attribute marginally well every one,result no_surfactant perform well every attribute only marginally well every one
helllo,hello
agree hydrophilic surfacant potential best due itss low cost high performance,agree hydrophilic surfacant potential best due low cost high performance
sorry issues sending prof fiegel helped fix sent message multiple times,sorry issue send prof fiegel help fix send message multiple time
yes think hydrophilic desirable,yes think hydrophilic desirable
upon review think steric hindering might best performance overall catagories,upon review think steric hindering might best performance overall category
choose best surfactant,choose best surfactant
steric hindering hydrophilic definitely front runners think marketability category important based determined give slight edge hydrophilic,steric hindering hydrophilic definitely front runner not_think marketability category important base determine would give slight edge hydrophilic
comparison graph overall found best surfactant one best overall performance amongst catagories available cost strong factor downside steric hindering compared hydrohilic marketing must taken account better terms steric hindering,comparison graph overall find best surfactant one best overall performance amongst category available cost strong factor downside steric hindering compare hydrohilic marketing must take account well term steric hindering
surfactant graphs helpful making final surfactant choice,surfactant graph helpful make final surfactant choice
looked price effectivity various areas hydrophilic second cheapest option far reliable even though steric hindrance marketable,look price effectively various area hydrophilic second cheapest option far reliable even though steric hindrance marketable
graphs helped demonstrate information visually made easier consider differences surfactants,graph help demonstrate information usually make easy consider difference surfactant
think good job allowing us see given information efficient way made choice personally much easier looking graphs,think good job allow us see give information efficient way make choice personally much easy look graph
end graph made visual created data entered terms visual able determine best two hydrophilic steric hindering result thee best two depends situation used,end graph make visual create data enter term visual able determine best two hydrophilic steric hindering result thee best two depend situation use
, 
yes,yes
yes,yes
yes,yes
team next step,team 's next step
need improve design filtration membrane,need improve design infiltration membrane
improve design must know wrong membrane choose best surfactant fix membrane based necessary help patients,improve design must know wrong membrane choose best surfactant fix membrane base necessary help patient
example cost issue make membrane much less costly another example would could design filter membrane last much longer time maintence would performed regularly,example cost issue make membrane much less costly another example would could design filter membrane last much long time maintenance would not_have perform regularly
adding,add
colin saying importance reliability blood cell reactivity could different,colin say importance reliability blood cell activity could different
must know surfactant choose group,must know surfactant choose group
yes really know much membranes fact little knowledge machines compred need design yes agree,yes really not_know much membrane fact little knowledge machine compare need design yes agree
agree lot data determine surfactant use,agree not_have lot data determine surfactant use
agree well need know severely effects effectiveness machine,agree well need know severely effect effectiveness machine
yes,yes
know need research surfactants focus,know need research surfactants focus
lets eliminate choose best research,let us eliminate choose best research
think ones consider point hydrophilic steric hindering,think only one consider point hydrophilic steric hindering
think pretty much narrowed hydrophilic steric hindrance surfactants anyone another want add,think pretty much narrowed hydrophilic steric hindrance surfactant anyone another want add
would agree well,would agree well
think stick steric hindering hydrophilic looking options surfactant agreed close two specialize different aspects,think stick steric hindering hydrophilic look option surfactant agree close two specialize different aspect
good work team,good work team
thanks,thanks
hey everyone posted mechanical engineering consultants requirements time intern find shared space,hey everyone just post write mechanical engineering consultant ' requirement time inter find write shared space
nephrotex internal consultants experts fields,nephrotex internal consultant expert field
let know questions requirements membrane design,let know question requirement membrane design
probably want check staff pages information,probably want check staff page information
notebook due today recommendation section suppose state recommendation based information given writers recommendation,notebook due today recommendation section suppose state recommendation base information give writer recommendation
consultant prioritized team prioritized,consultant prioritize not_what team prioritize
still confused recommendation portion suppose pick surfactant complies consultant best state criteria consultant wants,still confuse recommendation portion suppose just pick surfactant comply consultant best just state criterion consultant want
intern describe certain inputs influence outputs posted shared space reference,inter describe certain input influence output post write shared space reference
goal understand given particular material different design parameters affect attributes prototype,goal understand give particular material different design parameter affect attribute prototype
alex wants figure design choices different internal consultants favor assuming use team material,alex want figure design choice different internal consultant favor assume use team 's material
going assignment wayne anderson please respond person cover,go assignment wayne anderson please respond person cover
scratch im michelle procter,scratch michelle procter
padma rao,padma rao
alan duchamp,alan duchamp
wayne anderson,wayne anderson
rudy hernandez,rudy hernandez
back internship justify design decisions made found useful practice working alex know would like see similar style justification posted old notebook mine shared space reference,back internship justify design decision make find useful practice work alex know would like see similar style justification post old notebook mine shared space reference
clear team member design prototypes using pmma materials,just clear team member design 5 prototype use only pmma material
jared make sure use pmma psf designs,jared make sure use emma not_psf design
gotcha thanks,gotcha thanks
